has,prefers,count
RestAdaptor$RestTimer,ExceptionUtil,no_match
RestAdaptor$RestTimer,Adaptor,no_match
RestAdaptor$RestTimer,Chunk,no_match
SocketAdaptor,PatternLayout,io
SocketAdaptor,SocketAdaptor$Dispatcher,io
SocketAdaptor,AdaptorException,io
SocketAdaptor,AbstractAdaptor,io
SocketAdaptor,SocketAdaptor$Worker,io
SocketAdaptor,Logger,io
SocketAdaptor,AdaptorShutdownPolicy,io
SocketAdaptor,ExceptionUtil,io
SocketAdaptor$Dispatcher,SocketAdaptor$Worker,no_match
SocketAdaptor$Dispatcher,SocketAdaptor,no_match
SocketAdaptor$Dispatcher,Logger,no_match
SocketAdaptor$Dispatcher,ExceptionUtil,no_match
SocketAdaptor$Worker,LoggingEvent,no_match
SocketAdaptor$Worker,ChunkImpl,no_match
SocketAdaptor$Worker,SocketAdaptor,no_match
SocketAdaptor$Worker,Chunk,no_match
SocketAdaptor$Worker,PatternLayout,no_match
SocketAdaptor$Worker,ChunkReceiver,no_match
SocketAdaptor$Worker,Logger,no_match
SocketAdaptor$Worker,ExceptionUtil,no_match
SocketAdaptor$Worker,Adaptor,no_match
SyslogAdaptor,ChunkImpl,no_match
SyslogAdaptor,ChukwaConfiguration,no_match
SyslogAdaptor,UDPAdaptor,no_match
SyslogAdaptor,SyslogAdaptor$FacilityType,no_match
SyslogAdaptor,Logger,no_match
SyslogAdaptor,Chunk,no_match
SyslogAdaptor,ChunkReceiver,no_match
SyslogAdaptor,Adaptor,no_match
SyslogAdaptor$FacilityType,SyslogAdaptor,no_match
UDPAdaptor,ChunkImpl,adaptor
UDPAdaptor,UDPAdaptor$ListenThread,adaptor
UDPAdaptor,AdaptorException,adaptor
UDPAdaptor,AbstractAdaptor,adaptor
UDPAdaptor,Logger,adaptor
UDPAdaptor,Chunk,adaptor
UDPAdaptor,AdaptorShutdownPolicy,adaptor
UDPAdaptor,ChunkReceiver,adaptor
